title,company,location,qualifications
JavaScript Developer (Mandarin MUST - Will Train - Nationwide),Visa One Corporation,"New York, NY","['Visa sponsorship', 'Health insurance', 'Green card sponsorship', 'Mandarin', 'AJAX', 'Node.js', 'CSS', 'Bootstrap', 'React', 'No experience needed', 'English', 'UI design', ""Master's degree"", ""Bachelor's degree"", 'JavaScript', 'Back-end development', 'SASS', 'Usability', 'REST', 'Angular', 'UX', 'Organizational skills', 'Agile', 'Web services', 'JSON', '1 year', '2 years', 'Communication skills', 'React Native', 'Entry level', 'HTML', 'Under 1 year']"
Sitecore Developer,Black Owl Recruiting,"Manhattan, NY",[]
Software Engineer - Full-Stack,Accrete,"New York, NY","['Computer science', 'Management', '5 years', 'Mid-level', 'Microsoft System Center', '.NET', 'IT infrastructure', 'Business development', ""Driver's License"", ""Bachelor's degree"", 'SRE', 'Splunk', 'APIs', 'IT', '2 years', 'High availability', 'Information Technology']"
Front-End Developer,TXR,United States,[]
Frontend Engineer,Focus AI,"New York, NY","['CSS', 'React', 'RESTful API', 'Mid-level', 'JavaScript', 'UX', 'APIs', '1 year', 'AI', 'TypeScript', 'HTML']"
Frontend Engineer,Accrete,"New York, NY",[]
DevOps Engineer,Focus AI,"New York, NY",[]
Backend Engineer,Focus AI,"New York, NY","['CI/CD', 'Data modeling', 'Cloud architecture', 'Node.js', 'System design', 'NoSQL', 'Mid-level', 'Databases', 'Microservices', 'SQL', 'Express.js', 'JavaScript', 'Distributed systems', 'APIs', '1 year', 'AI', 'Leadership', 'Python']"
Software Developer - AI Trainer,DataAnnotation,"New York, NY",[]
"Sr. Software Engineer, Scala",Disney Entertainment & ESPN Technology,"New York, NY","['CI/CD', 'Computer science', 'Computer Science', 'Kubernetes', '5 years', 'Writing skills', 'Spark', 'System architecture', 'Java', 'Functional testing', 'AWS', ""Bachelor's degree"", 'Scala', 'Terraform', 'Software development', 'APIs', 'S3', 'Integration testing', 'Apache', 'DynamoDB', 'Senior level', 'Jenkins', 'Python', 'Design patterns']"
Full Stack Developer,Rethink,"New York, NY",[]
Back End Developer,Technology Holdings North America Inc.,"New York, NY","['Health savings account', 'Health insurance', 'Dental insurance', 'Paid time off', 'Vision insurance', 'Cloud infrastructure', 'Go', 'Cassandra', 'Kubernetes', 'UNIX', 'Google Cloud Platform', '3 years', 'Bash', 'Databases', '8 years', 'AWS', 'Docker', 'Distributed systems', 'Terraform', 'Redis', 'Back-end development', 'Scripting', 'APIs', 'Senior level', 'Shell Scripting']"
Principal Performance Engineer (Trading),Fidelity Investments,"Jersey City, NJ",[]
"Senior Manager, Software Engineering, Full Stack",Capital One,"New York, NY","['RDBMS', 'Azure', 'Go', 'Management', 'CSS', 'Kubernetes', 'Full-stack development', 'NoSQL', 'Google Cloud Platform', 'Java', ""Master's degree"", 'Microservices', 'SQL', 'AWS', 'Docker', ""Bachelor's degree"", 'JavaScript', 'Agile', 'Cloud computing', 'Senior level', '2 years', 'TypeScript', 'Python', 'HTML']"
"Senior DevOps Architect, Trilogy (Remote) - $400,000/year USD",Crossover,"New York, NY",[]
